CustomerID,LastPurchaseDate,UniquePurchaseDays,TotalOrders,TotalRevenue,TotalQuantity,Recency,Frequency,Monetary,AverageOrderValue,PurchaseFrequency,CLV,AverageBasketSize
12346,2011-01-18 10:01:00,1,1,77183,74215,326,1,77183,77183.0,1.0,926196.0,74215.0
12347,2011-12-07 15:52:00,7,7,4251,2458,2,7,4251,607.2857142857143,1.0,7287.4285714285725,351.14285714285717
12348,2011-09-25 13:13:00,4,4,1426,2332,75,4,1426,356.5,1.0,4278.0,583.0
12349,2011-11-21 09:51:00,1,1,1418,630,19,1,1418,1418.0,1.0,17016.0,630.0
12350,2011-02-02 16:01:00,1,1,289,196,310,1,289,289.0,1.0,3468.0,196.0
12352,2011-11-03 14:37:00,7,7,1346,526,36,7,1346,192.28571428571428,1.0,2307.4285714285716,75.14285714285714
12353,2011-05-19 17:47:00,1,1,86,20,204,1,86,86.0,1.0,1032.0,20.0
12354,2011-04-21 13:11:00,1,1,1047,530,232,1,1047,1047.0,1.0,12564.0,530.0
12355,2011-05-09 13:49:00,1,1,453,240,214,1,453,453.0,1.0,5436.0,240.0
12356,2011-11-17 08:40:00,3,3,2465,1573,23,3,2465,821.6666666666666,1.0,9860.0,524.3333333333334
12357,2011-11-06 16:07:00,1,1,6169,2708,33,1,6169,6169.0,1.0,74028.0,2708.0
12358,2011-12-08 10:26:00,2,2,919,242,2,2,919,459.5,1.0,5514.0,121.0
12359,2011-10-13 12:47:00,4,4,6236,1622,58,4,6236,1559.0,1.0,18708.0,405.5
12360,2011-10-18 15:22:00,3,3,2241,1156,52,3,2241,747.0,1.0,8964.0,385.3333333333333
12361,2011-02-25 13:51:00,1,1,170,90,287,1,170,170.0,1.0,2040.0,90.0
12362,2011-12-06 15:40:00,10,10,4621,2197,3,10,4621,462.1,1.0,5545.200000000001,219.7
12363,2011-08-22 10:18:00,2,2,543,408,110,2,543,271.5,1.0,3258.0,204.0
12364,2011-12-02 10:22:00,4,4,1179,1499,8,4,1179,294.75,1.0,3537.0,374.75
12365,2011-02-21 13:51:00,1,1,312,173,291,1,312,312.0,1.0,3744.0,173.0
12367,2011-12-05 16:48:00,1,1,146,172,4,1,146,146.0,1.0,1752.0,172.0
12370,2011-10-19 14:51:00,4,4,3358,2350,51,4,3358,839.5,1.0,10074.0,587.5
12371,2011-10-11 10:43:00,1,1,1503,582,60,1,1503,1503.0,1.0,18036.0,582.0
12372,2011-09-29 12:12:00,3,3,1173,788,72,3,1173,391.0,1.0,4692.0,262.6666666666667
12373,2011-02-01 13:10:00,1,1,320,196,311,1,320,320.0,1.0,3840.0,196.0
12374,2011-11-14 15:37:00,1,1,607,339,25,1,607,607.0,1.0,7284.0,339.0
12375,2011-11-29 10:36:00,2,2,368,176,11,2,368,184.0,1.0,2208.0,88.0
12377,2011-01-28 15:45:00,2,2,1524,942,315,2,1524,762.0,1.0,9144.0,471.0
12378,2011-08-02 10:34:00,1,1,3906,2529,130,1,3906,3906.0,1.0,46872.0,2529.0
12379,2011-09-19 10:09:00,2,2,759,402,82,2,759,379.5,1.0,4554.0,201.0
12380,2011-11-18 11:27:00,4,4,2372,1110,22,4,2372,593.0,1.0,7116.0,277.5
12381,2011-12-05 12:44:00,3,3,1435,797,5,3,1435,478.3333333333333,1.0,5740.0,265.6666666666667
