CustomerID,Recency,Frequency,Monetary,TotalItems,AvgRevenuePerTransaction,UniqueProducts,LifespanDays,TotalTransactions,Cluster,Segment
12347,1,7,4060.4,2218,22.43314917127072,102,365,181,2,Loyal Customers
12348,74,4,1437.24,2332,53.23111111111111,21,282,27,0,Low Engagement
12349,18,1,1457.55,630,20.24375,72,0,72,0,Low Engagement
12350,309,1,294.4,196,18.4,16,0,16,1,Regular Customers
12352,35,7,1385.74,526,17.996623376623376,57,260,77,0,Low Engagement
12353,203,1,89.0,20,22.25,4,0,4,1,Regular Customers
12354,231,1,1079.4,530,18.610344827586207,58,0,58,1,Regular Customers
12355,213,1,459.4,240,35.33846153846154,13,0,13,1,Regular Customers
12356,22,3,2487.43,1573,42.88672413793103,52,302,58,0,Low Engagement
12357,32,1,5970.07,2660,45.92361538461538,130,0,130,0,Low Engagement
12358,1,2,928.0600000000001,242,54.591764705882355,12,149,17,0,Low Engagement
12359,57,4,5730.03,1605,23.58037037037037,213,274,243,2,Loyal Customers
12360,51,3,2302.06,1156,18.27031746031746,104,148,126,0,Low Engagement
12361,286,1,174.9,90,19.433333333333334,9,0,9,1,Regular Customers
12362,2,10,4737.23,2197,18.5048046875,200,292,256,2,Loyal Customers
12363,109,2,552.0,408,24.0,23,132,23,0,Low Engagement
12364,7,4,1208.1,1499,14.914814814814815,69,104,81,0,Low Engagement
12365,290,1,320.69,173,15.27095238095238,21,0,21,1,Regular Customers
12367,3,1,150.9,172,15.09,10,0,10,1,Regular Customers
12370,50,4,3421.94,2349,20.739030303030304,142,309,165,2,Loyal Customers
12371,59,1,1527.96,582,24.644516129032258,62,0,62,0,Low Engagement
12372,71,3,1196.04,788,24.408979591836733,33,224,49,0,Low Engagement
12373,310,1,324.6,196,24.96923076923077,13,0,13,1,Regular Customers
12374,24,1,622.93,339,19.4665625,32,0,32,0,Low Engagement
12375,10,2,377.5,176,25.166666666666668,13,87,15,1,Regular Customers
12377,314,2,1548.12,942,20.369999999999997,71,39,76,0,Low Engagement
12378,129,1,4008.62,2529,18.30420091324201,219,0,219,0,Low Engagement
12379,81,2,777.24,402,20.453684210526315,38,88,38,0,Low Engagement
12380,21,4,2427.81,1110,24.2781,76,164,100,0,Low Engagement
12381,4,3,1474.81,797,17.985487804878048,69,115,82,0,Low Engagement
12383,184,5,1628.56,1518,17.325106382978724,83,167,94,0,Low Engagement
12384,28,2,425.27000000000004,122,17.010800000000003,25,92,25,1,Regular Customers
12386,337,2,401.9,354,40.19,10,29,10,1,Regular Customers
12388,15,6,2780.66,1462,27.8066,57,311,100,2,Loyal Customers
12390,79,1,504.84000000000003,350,16.28516129032258,31,0,31,1,Regular Customers
12391,21,1,439.66,293,4.72752688172043,92,0,93,0,Low Engagement
12393,71,4,1582.6000000000001,816,24.728125000000002,47,260,64,0,Low Engagement
12394,63,2,814.24,552,33.92666666666667,24,153,24,0,Low Engagement
12395,18,12,2682.63,2097,18.629375,90,351,144,2,Loyal Customers
12397,35,2,2214.9,1250,17.86209677419355,109,99,124,0,Low Engagement
12398,45,1,1435.66,1389,17.091190476190476,84,0,84,0,Low Engagement
12399,118,4,1033.65,1173,18.793636363636367,46,142,55,0,Low Engagement
12401,302,1,69.3,10,17.325,4,0,4,1,Regular Customers
12402,322,1,195.6,92,19.56,10,0,10,1,Regular Customers
12403,49,1,391.7,94,97.925,4,0,4,3,VIP Customers
12405,148,1,1390.39,849,26.233773584905663,53,0,53,0,Low Engagement
12406,21,2,3415.3,1818,32.52666666666667,92,161,105,0,Low Engagement
12407,49,5,1507.1200000000001,1403,20.932222222222222,56,214,72,0,Low Engagement
12408,32,5,2618.55,1391,25.92623762376238,80,227,101,0,Low Engagement
12409,78,3,9081.77,5145,89.91851485148516,86,103,101,2,Loyal Customers
12410,308,2,533.33,207,21.3332,25,0,25,1,Regular Customers
